Numero,Stampata in,Specie,Articoli disponibili,Da,Tendenza di prezzo,Prezzo medio 30 giorni,Prezzo medio 7 giorni,Prezzo medio 1 giorno,link,Date
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.04,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-21T22:30:25.405055
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.04,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-21T22:40:29.436519
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.03,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-22T12:16:57.545664
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.03,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-22T12:22:02.707725
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.03,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-22T12:23:23.628441
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.03,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-22T12:24:08.231813
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.03,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-22T12:26:59.787792
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.03,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-22T12:32:15.874693
122,Tempesta Argentata,Ferrothorn,2547,0.05,0.05,0.04,0.05,0.03,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Ferrothorn-SIT122,2023-01-22T12:33:19.606008
