Numero,Stampata in,Specie,Articoli disponibili,Da,Tendenza di prezzo,Prezzo medio 30 giorni,Prezzo medio 7 giorni,Prezzo medio 1 giorno,link,Date
126,Tempesta Argentata,Cobalion,1918,0.08,0.08,0.08,0.07,0.02,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Cobalion-SIT126,2023-01-21T22:30:28.189886
126,Tempesta Argentata,Cobalion,1918,0.08,0.08,0.08,0.07,0.02,https://www.cardmarket.com/it/Pokemon/Products/Singles/Silver-Tempest/Cobalion-SIT126,2023-01-21T22:40:32.176315
